BLU|G9 Dual-SIM 64GB Smartphone (Unlocked, Blue)|159.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'North American Variant', 'Dual 13MP/2MP Rear Cameras', 'Front 13MP Selfie Camera', '52MP Super Zoom + Night Mode', '2.0 GHz MediaTek Helio P22 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', '6.3" 1520 x 720 IPS LCD Display', 'Encrypted Rear Fingerprint Sensor', 'Android 9.0 Pie']
Samsung|Galaxy A10 A105M Duos Dual-SIM 32GB Smartphone (Unlocked, Red)|134.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Wireless Connectivity', 'Latin America Variant/US Compatible LTE', '6.2" Infinity-V Touchscreen Display', '1520 x 720 Resolution', '13MP Rear Camera + 5MP Front Camera', 'f/1.9 28mm Wide Auto Focus Lens', 'Exynos 7884 Octa-Core CPU', '32GB Storage Capacity + 2GB of RAM', 'Dual Nano SIMs', 'Android 9.0 Pie']
Samsung|Galaxy S9+ SM-G9650 Dual SIM 64GB Smartphone (Unlocked, Midnight Black)|559.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM / 4G LTE Compatible', 'International Variant/US Compatible LTE', 'Rear 12MP F1.5/2.4 + 12MP F2.4 Cameras', 'Front 8MP F1.7 Smart Autofocus Camera', '6.2" 2960 x 1440 Super AMOLED Display', '18.5:9 Aspect Ratio Infinity Display', '2.8 GHz Snapdragon 845 Octa-Core CPU', '64GB Storage Capacity + 6GB of RAM', '802.11 a/b/g/n/ac 2.4+5 GHz Wi-Fi', 'Android 8.0 Oreo']
Google|Pixel 3 XL 128GB Smartphone (Unlocked, Just Black)|699.00|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM+CDMA / 4G LTE Compatible', 'North American Variant', 'Rear 12.2MP Dual-Pixel Camera', 'Optical + Electronic Image Stabilization', 'Dual 8MP Front-Facing Cameras', 'Wide-Angle Lens for Group Selfies', '2.5/1.6 GHz Snapdragon 845 Octa-Core CPU', '128GB Storage Capacity + 4GB of RAM', '6.3" 2960 x 1440 QHD+ OLED Display', 'Android 9.0 Pie']
Samsung|Galaxy A30 SM-A305G Dual-SIM 64GB Smartphone (Unlocked, White)|224.10|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'Latin America Variant/US Compatible LTE', 'Rear 16MP f/1.7 PDAF Camera', 'Rear 5MP f/2.2 Ultrawide Camera', 'Front 16MP f/2.0 Selfie Camera', '1.8/1.6 Exynos 7904 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', '6.4" 2340 x 1080 Super AMOLED Display', '64GB microSD Card Included', 'Android 9.0 Pie with Samsung One UI']
Samsung|Galaxy S10e SM-G970F Dual SIM 128GB Smartphone (Unlocked, Green)|549.99|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM / 4G LTE Wireless Connectivity', 'Latin America Variant/US Compatible LTE', '16MP/12MP Rear Dual-Camera Array', 'Ultra-Wide / Wide Cameras', '10MP Wide-Angle 4K UHD Selfie Camera', 'Samsung Exynos 9820 Octa-Core CPU', '128GB Storage Capacity + 6GB of RAM', '5.8" Dynamic AMOLED Display', 'PowerShare Wireless Charging', 'Android 9.0 Pie + One UI']
Google|Pixel 3a XL Smartphone (Unlocked, Clearly White)|474.85|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM+CDMA / 4G LTE Compatible', 'North American Variant', '12.2MP Rear Dual-Pixel Camera', '8MP Front-Facing Camera', 'Night Sight + 4K Video Capture', '6.0" 2160 x 1080 OLED Display', '2.0/1.7 GHz Snapdragon 670 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', 'Titan M Security Chip', 'Android 9.0 Pie']
Google|Pixel 3 64GB Smartphone (Unlocked, Clearly White)|479.00|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t10/31/19', 'GSM+CDMA / 4G LTE Compatible', 'North American Variant', 'Rear 12.2MP Dual-Pixel Camera', 'Optical + Electronic Image Stabilization', 'Dual 8MP Front-Facing Cameras', 'Wide-Angle Lens for Group Selfies', '2.5/1.6 GHz Snapdragon 845 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', '5.5" 2160 x 1080 FHD+ OLED Display', 'Android 9.0 Pie']
Nokia|4.2 Dual-SIM 32GB Smartphone (Unlocked, Android One, Pink Sand)|183.12|['Enjoy 3 Months Of Unlimited Talk & Text + 8GB Data Per Month On The Mint Mobile Network.\n\t\t\t\t\t\t\t\t\tvalid until\n\t\t\t\t\t\t\t\t\t12/31/19', 'GSM / 4G LTE Compatible', 'North American Variant', 'Android One Edition', 'Dual Rear 13MP/2MP Cameras', 'Front 8MP Selfie Camera', 'Snapdragon 439 Octa-Core CPU', '32GB Storage Capacity + 3GB of RAM', '5.71" 1520 x 720 IPS LCD Display', 'Google Button / Notification Light', 'Android 9.0 Pie']
Xiaomi|Redmi Note7 Dual-SIM 64GB Smartphone (Unlocked, Neptune Blue)|199.99|['GSM / 4G LTE Compatible', 'International Variant/International LTE', 'Rear 48MP + 5MP Rear Cameras', 'Front 13MP Camera', '2.2 GHz Snapdragon 660 Octa-Core CPU', '64GB Storage Capacity + 4GB of RAM', '6.3" 2340 x 1080 Dot Drop LCD Display', '1.6μm 4-in-1 Super Pixel', '4000mAh High-Capacity Battery', 'MIUI 10 + Android 9.0 Pie']
